1轉僧影,五派禁地
1轉劍影,五派禁地
1轉勇影,五派禁地
1轉女僧影,五派禁地
1轉女劍影,五派禁地
1轉女勇影,五派禁地
1轉女術影,五派禁地
1轉女道影,五派禁地
1轉術影,五派禁地
1轉道影,五派禁地
2轉僧影,五派禁地
2轉劍影,五派禁地
2轉勇影,五派禁地
2轉女僧影,五派禁地
2轉女劍影,五派禁地
2轉女勇影,五派禁地
2轉女術影,五派禁地
2轉女道影,五派禁地
2轉術影,五派禁地
2轉道影,五派禁地
3轉僧影,天授之間
3轉劍影,天授之間
3轉勇影,天授之間
3轉女僧影,天授之間
3轉女劍影,天授之間
3轉女勇影,天授之間
3轉女術影,天授之間
3轉女道影,天授之間
3轉術影,天授之間
3轉道影,天授之間
<三昧幼龍>,修羅級玉旭之巔
<主宰幻影>,修羅級破滅之源
<九厲邪馬>,修羅級破滅之源
<九天尊雷神王>,修羅級九霄天樓
<九天御風神王>,修羅級九霄天樓
<九尾狐禍影>,修羅級黃龍秘殿
<九霄英衛>,【修羅級】『九宵天樓』第一層,修羅級九霄天樓
<仙露花精>,七寶仙境,七寶仙境　壹
<仿生木狐>,修羅級五鷹閣
<仿生銅蛛>,修羅級五鷹閣
<仿生鐵龍>,修羅級五鷹閣
<仿神．女媧磁偶>,修羅級五鷹閣
<來世象尊>,七寶仙境,七寶仙境　壹
<修羅魔君>,修羅級魔君天都
<傲慢之魔>,【修羅級】『神臨之地』第二層 ( 左邊 ),修羅級神臨之地
<冥府艷后克麗邁絲>,修羅級神王金字塔
<冥者阿奴比斯>,修羅級神王金字塔
<冰霜反譯機虎>,修羅級蛇眼城
<凱夫山納>,修羅級神王金字塔
<凱貝潔特>,修羅級神王金字塔
<剎風真帝靈>,【修羅級】『飛昇大廳』第三層,真七寶仙境　貳
<創典黑后>,修羅級神王金字塔
<原型機兵>,修羅級五鷹閣
<原罪十字軍>,【修羅級】『神臨之地』第一、二、三層,修羅級神臨之地
<反向工程電眼>,修羅級蛇眼城
<問頂仙龍>,七寶仙境,七寶仙境　壹
<噬人者>,修羅級破滅之源
<四聖位化神>,【修羅級】『飛昇大廳』第四層,真七寶仙境　貳
<四象晶鎖>,【修羅級】『飛昇大廳』第四層
<地獄狂獅王>,【修羅級】『神臨之地』第二層 ( 右邊 ),修羅級神臨之地
<地獄蜥蜴人>,【修羅級】『神臨之地』第二層 ( 右邊 ),修羅級神臨之地
<地獄鷹身女>,【修羅級】『神臨之地』第二層 ( 右邊 ),修羅級神臨之地
<墮簾月牙妖>,【修羅級】『九宵天樓』第二層,修羅級九霄天樓
<天劫刀夜叉>,修羅級魔君天都
<天劫刑天>,修羅級魔君天都
<天劫刑天王>,修羅級魔君天都
<天劫土行王>,修羅級魔君天都
<天劫土行者>,修羅級魔君天都
<天劫夜叉斧鬼>,修羅級魔君天都
<天劫夜叉槍鬼>,修羅級魔君天都
<天劫夜叉王>,修羅級魔君天都
<天劫夸父>,修羅級魔君天都
<天劫夸父王>,修羅級魔君天都
<天劫巨靈>,修羅級魔君天都
<天劫巨靈王>,修羅級魔君天都
<天劫擊夜叉>,修羅級魔君天都
<天劫斧夜叉>,修羅級魔君天都
<天劫百眼巫>,修羅級魔君天都
<天劫百眼王>,修羅級魔君天都
<天劫花精>,修羅級魔君天都
<天劫金鷹王>,修羅級魔君天都
<天劫鷹翅軍>,修羅級魔君天都
<天樓龍驍將>,【修羅級】『九宵天樓』第三層,修羅級九霄天樓
<天湖櫻魚>,修羅級玉旭之巔
<天門暴獸>,修羅級五鷹閣
<天龍驃龍神>,【修羅級】『九宵天樓』第三層,修羅級九霄天樓
<奇樞機人>,修羅級五鷹閣
<妙捷跳鼠>,七寶仙境,七寶仙境　壹
<始魔巴爾>,修羅級神臨之地
<始魔梅非斯特>,修羅級神臨之地
<岩羅角獸>,七寶仙境,七寶仙境　壹
<布雷克>,修羅級玉旭之巔
<幻月銀狼>,七寶仙境,七寶仙境　壹
<幻業僧魔>,修羅級無限鬥界
<幻業劍魔>,修羅級無限鬥界
<幻業勇魔>,修羅級無限鬥界
<幻業術魔>,修羅級無限鬥界
<幻業道魔>,修羅級無限鬥界
<幻滅巨龍>,【修羅級】『神臨之地』第三層,修羅級神臨之地
<幻魔‧海蛇>,【修羅級】『神臨之地』第一層,修羅級神臨之地
<幻魔‧火鐮>,【修羅級】『神臨之地』第一層,修羅級神臨之地
<彪虎古戰神>,【修羅級】『飛昇大廳』第一、二、三層,真七寶仙境　貳
<戰嵐勇將>,修羅級玉旭之巔
<戰嵐女將>,修羅級玉旭之巔
<戰嵐悍尊長>,修羅級玉旭之巔
<戰嵐狂將>,修羅級玉旭之巔
<戰嵐盲巫>,修羅級玉旭之巔
<戰嵐角犀>,修羅級玉旭之巔
